"id","payment_intent_id","fraud_score","decision","block_reason","device_id","ip_address","geolocation","velocity_flag","bin_flag","blacklist_hit","evaluated_at"
"b5c9dfce-c1f0-40ad-a4a8-900608b93c94","ee994d72-ad39-494a-9200-728a3d4825a9",52,"allow","","b85c435e-7dfa-43bc-b273-bb1b2db08638","64.199.217.90","-69.3248135,18.592372","false","false","false","2025-02-13 01:55:03 UTC"
"76a0c3c7-50e9-4358-ada7-96d9030f6c03","c4a0a3b5-3868-496b-aca3-9b8c223c3f13",20,"allow","","e8729f0f-4176-4582-9545-fbbac35a0a07","210.113.251.147","-58.9557495,176.794395","false","true","false","2025-02-19 07:06:54 UTC"
"214368ba-684e-4862-8d24-83a862730d08","db59750c-43ba-4a53-9010-ec0d9dc5f639",6,"allow","","bba3c02d-f773-4e25-a084-1cce60c9882e","179.158.246.130","-28.057390,116.451316","false","false","false","2025-02-01 02:10:50 UTC"
"dcbde0c0-3ad0-4398-a402-29c5da2a8e25","4b945a88-e300-4304-a27b-6fc5958f896b",90,"allow","","e2feb6c0-087e-4fe6-b981-3b5ba823f559","141.76.63.85","18.3670905,60.402731","true","false","false","2025-01-09 08:37:14 UTC"
"524778db-0e62-4f02-b27e-fa5c343927a1","3fadf17d-f46d-4279-b4e6-4650e359609e",12,"allow","","2ae9080c-ed9e-495c-84c1-d6da97f9b0b0","171.188.122.115","-37.070962,62.913506","false","false","false","2025-01-23 07:33:35 UTC"
"c471b8da-5501-4d7c-a699-5ceb70259559","6d1e1a89-1751-4ca2-9bdb-4f132dc31fc4",13,"allow","","f6d156d3-3e10-4a46-b128-a6a9c00b8d1c","31.125.27.134","16.4384725,160.038601","false","false","false","2025-02-22 06:19:49 UTC"
"162a86ac-dd97-4b76-9ddb-312d9fa61944","60cbb4f4-a7c8-49b1-a1ad-b8ecbe428565",16,"allow","","3f874405-65af-4920-b9f5-725f8e5c1cff","156.143.152.212","31.032875,-129.865606","false","false","false","2025-01-02 02:20:50 UTC"
"6ded9ae8-9ec4-45ea-8dfe-38884e8a8e42","27576060-21dd-441a-87b9-5eb13dcd78f5",20,"allow","","8ddea4d1-3b5d-44ee-af34-562be4689495","101.252.1.179","3.586947,-34.634172","false","false","false","2025-01-23 07:49:03 UTC"
"08d32cc9-e197-45fa-84c2-ac211f4a8ef2","39ebd662-3ba4-415b-8442-b31f44704614",62,"allow","","6ac4b883-e13a-46de-b33d-2d62455ec489","26.96.184.212","61.885444,-81.067399","false","false","false","2025-02-21 19:47:38 UTC"
"66ab1547-8251-4cc2-9ea7-9d177d068f46","8d0869fd-4da1-4206-bb0c-8cbd597a2de5",21,"allow","","21569860-2734-40c3-a23e-29bdf9470871","19.69.95.52","30.2691075,-19.074963","false","false","false","2025-02-27 10:13:42 UTC"
"a1885768-6be6-49c1-bae7-a363107837c1","11037ba8-514e-4203-b969-eecb71e12d8f",76,"allow","","83d07d87-02bd-4366-81dc-c5a9f800d972","190.206.159.95","-12.0571095,88.195791","false","true","false","2025-01-12 08:36:45 UTC"
"ab90bb3f-0c22-44e1-ad2a-44a15f40ad59","30e78599-b477-410b-af02-273fee2c1e86",42,"allow","","b26074af-1f5c-4c63-aea0-8d199fce5fd2","87.207.74.37","-79.3436305,16.510269","false","false","false","2025-02-09 07:20:06 UTC"
"e26023e6-4111-4cb7-8d48-fb5fb11629fd","e2fe66a9-b067-46ea-9f89-77dcd2edbc66",94,"block","velocity","9f7aea30-5c6d-4d13-b902-031a5f531013","11.16.154.234","26.523230,36.038309","true","false","false","2025-02-07 03:40:42 UTC"
"4f072739-8f81-427f-bf4d-a19bc7fb5e5d","4bd33111-eb3f-493f-9adc-a8463dda93de",29,"allow","","81d6a829-ade3-42ef-a04a-beb62a7f8e7c","101.168.250.227","78.2645455,17.746761","false","false","false","2025-02-01 23:38:09 UTC"
"b2bedf46-bcf4-4bda-9e56-55fd49593049","44fb4e4a-84e4-4c07-ac61-87c44122394f",24,"allow","","490cc8f9-d8bc-40f1-874e-e33546f642b5","120.25.21.191","20.2882945,-32.583097","false","false","false","2025-02-16 00:03:55 UTC"
"1b297da9-d074-4bd5-a37f-8ab359ef018d","c7659c68-ce79-4946-a667-0a4994faae41",27,"allow","","c3820040-6466-4b05-b2aa-1239502f540e","9.156.29.189","-55.9884045,-96.420130","false","false","false","2025-01-06 23:16:08 UTC"
"2f72c8a8-1ba6-4ef2-b950-40ea471d8e06","1a9d6ea3-5322-4f5d-bf4d-ae488ef53aaa",21,"allow","","63665458-358d-4524-be01-e77f859ea371","45.155.81.29","-82.5982575,108.282876","false","false","false","2025-02-23 17:27:27 UTC"
"1eff614b-3d69-497b-8136-c103dd299ce5","a0ae6404-b126-41c3-96de-1b8c24ff13ed",78,"allow","","564bccf2-b256-4659-ab9e-4e1c415ce1bc","201.51.187.55","23.473251,105.517603","false","false","false","2025-02-08 22:20:31 UTC"
"7c4ad01c-d060-4310-9674-b8a36058a64c","c43fc432-68e2-439e-bdef-62b908c9e275",7,"allow","","41dd0970-d4ea-4dd7-be67-e72d48e74744","17.173.105.57","-40.8032095,153.520847","false","false","false","2025-01-04 14:18:18 UTC"
"4a8cf718-ca96-4356-b7fb-e8d23dab9858","a3b477db-2384-4579-af3d-3719c216407b",24,"allow","","41c8cbcf-2a8f-49ee-98d5-47ea7b65bc49","170.238.114.203","68.0627545,-157.896667","false","false","false","2025-01-31 17:48:26 UTC"
"323dd76b-35ff-4c93-88c1-66b8d87f58d6","33cf9263-af01-4ab0-8922-40a9d7d9f60e",67,"allow","","2ca96e36-383c-449d-af4c-57bda8efbd86","122.247.227.244","-43.456575,21.378657","false","false","false","2025-02-18 21:28:16 UTC"
"cb0a1d4f-5ba1-4fd7-b4f7-53b69cc1a48c","634a70bf-8e0a-4ea9-9bb6-02b0cfed7c2f",28,"allow","","203c3bf4-5475-45d5-9b38-ec0f5e2c043e","170.191.77.63","-56.6975335,161.763546","false","false","false","2025-02-09 05:22:06 UTC"
"a994f9b0-79f1-4679-b0aa-591cc8d1ed3e","9b692917-bacc-48d8-b9df-d525da2d9cc4",36,"allow","","7876550d-6892-44d3-9643-9a092b89b0c6","84.28.34.47","81.3730835,17.945286","false","false","false","2025-02-28 02:26:23 UTC"
"919c851f-524c-42c9-b038-ac28a6e9d9e0","1510a969-644e-4589-bafe-f6623c0cc672",53,"allow","","5d7d8f9e-d81c-4d47-b22b-b6b4b7f4972b","194.103.49.250","-5.4033515,114.994300","false","false","false","2025-02-06 03:40:37 UTC"
"1da2c7ad-798f-4cab-8359-60c40df1e173","b64c992b-3fca-4c78-a8cd-402b71d1b21d",44,"allow","","90176fe9-6b92-4813-b696-f6850f235c9a","102.84.245.101","-56.5538835,-69.403784","false","false","false","2025-01-04 17:18:07 UTC"
"6a2c7147-101a-4667-880e-b1c3822986be","f3a76c8c-a869-44c0-8f72-d0e99a5c0da6",57,"allow","","3843ea4b-995d-43d8-b8f4-0b6cb495a987","162.77.113.229","72.4786565,22.425383","false","false","false","2025-02-19 11:40:56 UTC"
"ffbdd8c3-5ccf-471d-ad6c-cffbaeaaa481","7a51c983-d320-4e6a-a5de-0b408dc9a3d6",26,"allow","","c7caf5f3-7ce7-4bd7-8603-44f0a47add86","94.4.123.53","-44.598552,-23.329043","false","false","false","2025-02-24 19:05:19 UTC"
"34378c74-399c-41fb-b071-9bddc16ee07d","1e8b1f1b-8614-4d0b-922d-c43d185c4d5a",31,"allow","","564b6302-e50b-44a9-bb15-b0303fabd4ba","144.208.249.66","-86.7191325,53.018120","false","false","false","2025-01-24 16:54:06 UTC"
"185dbecf-b128-49a8-a9d6-52d2bdca9577","b7745ca0-c4ed-45f2-ba29-27b084b1f8c1",35,"allow","","b61e926e-9b40-49c5-8533-12ce43ee77f5","46.215.13.53","9.620265,59.869462","false","false","false","2025-02-06 07:48:11 UTC"
"369c95f0-db03-4885-8015-0d9adf00530e","8d65ce7d-5f2e-494d-8ccd-5449d248c798",60,"allow","","093f894c-6a79-4281-860b-1d54abd5b55d","48.217.27.63","-3.157420,43.013339","false","false","false","2025-02-27 13:42:25 UTC"
"b2706666-ce44-4d83-a6d0-c1da990c2c3a","943fd6e9-bc5f-495e-8081-0deb51e3face",25,"allow","","9d6ac0be-09b3-409d-a540-db78aac97262","27.225.94.234","16.044375,47.556124","false","false","false","2025-01-18 23:19:24 UTC"
"9ba09316-7f25-43b1-b83c-697b351069a3","d942e3ab-ce6b-4220-b1bf-a5f9ec12275a",93,"block","velocity","37e11a56-e6f9-4fa5-bb8a-f5ab95c6e69c","177.82.122.126","42.331855,-2.445440","true","false","false","2025-01-25 01:17:09 UTC"
"177defc9-fcb4-424a-82be-7425b619fcb6","d857d8de-b4aa-416c-bb33-ed7d36858518",85,"allow","","629ab8b0-05ea-45c9-80ca-f5b064dc8d50","103.244.250.52","29.912119,-71.777149","true","false","false","2025-02-20 17:19:15 UTC"
"5ee92dd1-a42d-40f1-a967-b97f9afc2f23","d2a56a49-b240-47f1-9acc-b1192cb81444",16,"allow","","5eef82af-25ef-4283-8cb8-c0a3cd44841e","165.227.0.191","9.733545,-2.644501","false","false","false","2025-01-27 12:03:46 UTC"
"795960f6-238f-4ebf-964a-29f386e0b89c","fabfe32d-debf-467a-9bdb-b9f7a861b839",19,"allow","","3593059e-dafc-402e-be3b-0fe2f629c23e","42.43.195.211","4.657243,96.752912","false","false","false","2025-01-13 12:28:34 UTC"
"959194b0-5c19-4077-b375-c735b7fc5d38","c93de83b-ab6b-4426-bf3b-7340b8346bda",17,"allow","","84ba031b-fe53-4124-a845-b9131a987ba4","46.38.70.148","-32.5311245,-126.662354","false","false","false","2025-02-19 06:08:19 UTC"
"7cf5bfc2-34cb-4523-a6f0-c02f2b9fe9cb","8e3f86b1-a191-4dcc-9169-54702dbfd7b5",89,"allow","","57e1b383-9ae0-45c3-add0-7a5ba8679815","65.135.176.191","-68.2718525,94.445488","true","false","false","2025-02-03 06:56:19 UTC"
"f19263d1-8781-4d5f-952a-c6e0f9f5bffc","8fadd54b-ecde-456e-8f1f-ae7089923d64",52,"allow","","1c5fc4bf-b912-40c3-807a-4745c28fec3b","212.27.167.0","11.1095005,166.793992","false","true","false","2025-01-28 04:52:16 UTC"
"05f5d8d5-7eb3-4e78-91fb-b5bac109aeb2","6e3206a2-0d79-4c46-b7eb-f04177d224ea",7,"allow","","0d41bb6e-5aba-49a2-a37d-9ac99318a61c","110.198.255.199","64.264450,148.178691","false","false","false","2025-02-09 01:46:08 UTC"
